,text,ipa,syllables,audio_files,stress,audio_urls
183,إجا عالوجع,ˈʔɪ.d͡ʒaʕalˈwa.d͡ʒaʕ,4,LL-Q55633582 (ajp)-Basil (AdrianAbdulBaha)-إجا عالوجع.wav,1,LL-Q55633582_%28ajp%29-Basil_%28AdrianAbdulBaha%29-%D8%A5%D8%AC%D8%A7_%D8%B9%D8%A7%D9%84%D9%88%D8%AC%D8%B9.wav
500,بطانية,bɑtˤ.tˤɑˈnij.je,4,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-بطّانيّة.wav,3,LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A8%D8%B7%D9%91%D8%A7%D9%86%D9%8A%D9%91%D8%A9.wav
2400,مستوطنة,mʊsˤˈtˤɑw.tˤɑ.ne,4,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-مستوطنة.wav,2,LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%85%D8%B3%D8%AA%D9%88%D8%B7%D9%86%D8%A9.wav
126,أكترية,ʔak.taˈrij.je,4,LL-Q55633582 (ajp)-Khalil.rantissi-أكتَريّة.wav,3,LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A3%D9%83%D8%AA%D9%8E%D8%B1%D9%8A%D9%91%D8%A9.wav
2225,كيلومتر,ˈkiː.lo.mɪ.tɪr,4,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-كيلومتر.wav,1,LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%83%D9%8A%D9%84%D9%88%D9%85%D8%AA%D8%B1.wav
2756,وقف بوجه,ˈwaʔ.ʔaf‿ɪbˈwij.ho,4,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-وقّف بوجهه.wav,1,LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%88%D9%82%D9%91%D9%81_%D8%A8%D9%88%D8%AC%D9%87%D9%87.wav
1687,طول باله,ˈtˤɑw.wɑlˈbæː.lo,4,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-ṭawwal bālo.wav,1,LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%E1%B9%ADawwal_b%C4%81lo.wav
2197,كمدينة,ko.moˈdiː.ne,4,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-كمدينة.wav,3,LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%83%D9%85%D8%AF%D9%8A%D9%86%D8%A9.wav
1654,طبريا,tˤɑ.bɑˈrij.ja,4,LL-Q55633582 (ajp)-AdrianAbdulBaha-طبريّا.wav,3,LL-Q55633582_%28ajp%29-AdrianAbdulBaha-%D8%B7%D8%A8%D8%B1%D9%8A%D9%91%D8%A7.wav
1558,صبحية,sˤɑ.bɑˈħij.je,4,LL-Q55633582 (ajp)-AseelF (AdrianAbdulBaha)-صَباحيّة.wav,3,LL-Q55633582_%28ajp%29-AseelF_%28AdrianAbdulBaha%29-%D8%B5%D9%8E%D8%A8%D8%A7%D8%AD%D9%8A%D9%91%D8%A9.wav
305,التلاتا,ˈɪt.tu.laː.ta,4,LL-Q55633582 (ajp)-AseelF (AdrianAbdulBaha)-Tuesday.wav,1,LL-Q55633582_%28ajp%29-AseelF_%28AdrianAbdulBaha%29-Tuesday.wav
304,التلاتا,ˈɪt.ta.læː.ta,4,LL-Q55633582 (ajp)-AseelF (AdrianAbdulBaha)-Tuesday.wav,1,LL-Q55633582_%28ajp%29-AseelF_%28AdrianAbdulBaha%29-Tuesday.wav
1716,عالقليلة,ʕal.ʔaˈliː.le,4,LL-Q55633582 (ajp)-AdrianAbdulBaha-عالقليلة.wav,3,LL-Q55633582_%28ajp%29-AdrianAbdulBaha-%D8%B9%D8%A7%D9%84%D9%82%D9%84%D9%8A%D9%84%D8%A9.wav
318,العامية,ɪl.ʕamˈmij.je,4,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-العامية.wav,3,LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D9%8A%D8%A9.wav
2740,وطنية,wɑ.tˤɑˈnij.je,4,LL-Q55633582 (ajp)-Khalil.rantissi-وطنيّة.wav,3,LL-Q55633582_%28ajp%29-Khalil.rantissi-%D9%88%D8%B7%D9%86%D9%8A%D9%91%D8%A9.wav
1752,عرباية,ʕa.rˤɑˈbɑː.je,4,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-عرباية.wav,3,LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%B9%D8%B1%D8%A8%D8%A7%D9%8A%D8%A9.wav
162,أهلا وسهلا,ˌʔah.la‿wˈsah.la,4,LL-Q55633582 (ajp)-AdrianAbdulBaha-أهلا وسهلا.wav,3,LL-Q55633582_%28ajp%29-AdrianAbdulBaha-%D8%A3%D9%87%D9%84%D8%A7_%D9%88%D8%B3%D9%87%D9%84%D8%A7.wav
2392,مسؤولية,mas.ʔuːˈlij.je,4,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-مسؤوليّة.wav,3,LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%85%D8%B3%D8%A4%D9%88%D9%84%D9%8A%D9%91%D8%A9.wav
2096,قطاع غزة,qɪˈtˤɑʕˈɣaz.ze,4,LL-Q55633582 (ajp)-Khalil.rantissi-قطاع غزّة.wav,2,LL-Q55633582_%28ajp%29-Khalil.rantissi-%D9%82%D8%B7%D8%A7%D8%B9_%D8%BA%D8%B2%D9%91%D8%A9.wav
320,العقبة,ilˈʕɑ.qɑ.be,4,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-العقبة.wav,2,LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A7%D9%84%D8%B9%D9%82%D8%A8%D8%A9.wav
2331,محاضرة,muˈħɑː.dˤɑ.rˤɑ,4,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-محاضرة.wav,2,LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%85%D8%AD%D8%A7%D8%B6%D8%B1%D8%A9.wav
519,بعد بكرة,ˈba.ʕɪdˈbʊk.rˤɑ,4,LL-Q55633582 (ajp)-AdrianAbdulBaha-بعد بكرة.wav,1,LL-Q55633582_%28ajp%29-AdrianAbdulBaha-%D8%A8%D8%B9%D8%AF_%D8%A8%D9%83%D8%B1%D8%A9.wav
2757,وقف في صف,ˈwaʔ.ʔaffɪˈsˤɑf.fo,4,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-وقف في صفه.wav,1,LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%88%D9%82%D9%81_%D9%81%D9%8A_%D8%B5%D9%81%D9%87.wav
1959,فرس النهر,ˈfa.rasɪnˈna.hɪr,4,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-فرس النهر.wav,1,LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%81%D8%B1%D8%B3_%D8%A7%D9%84%D9%86%D9%87%D8%B1.wav
2380,مرمية,ma.raˈmij.je,4,LL-Q55633582 (ajp)-IbrahimZ (AdrianAbdulBaha)-مرميّة.wav,3,LL-Q55633582_%28ajp%29-IbrahimZ_%28AdrianAbdulBaha%29-%D9%85%D8%B1%D9%85%D9%8A%D9%91%D8%A9.wav
