ipa	syllable	probability	predicted	gold	correct	features
	2	[0.94, 0.06]	0	0.0	True	none
ˈʕi.rɪʔ	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈʕɑq.qɑm	1	[0.04, 0.96]	1	1.0	True	none
	2	[0.93, 0.07]	0	0.0	True	none
ˈʕak.ka	1	[0.0, 1.0]	1	1.0	True	none
	2	[0.98, 0.02]	0	0.0	True	none
ˈʕa.kas	1	[0.01, 0.99]	1	1.0	True	none
	2	[0.99, 0.01]	0	0.0	True	none
ˈʕʊl.be	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈʕi.li	1	[0.93, 0.07]	0	1.0	False	none
	2	[0.05, 0.95]	1	0.0	False	none
ˈʕoː.de	1	[0.18, 0.82]	1	1.0	True	none
	2	[0.95, 0.05]	0	0.0	True	none
ˈɣɑtˤ.tˤɑ	1	[0.14, 0.86]	1	1.0	True	none
	2	[0.48, 0.52]	1	0.0	False	none
ˈfat.rˤɑ	1	[0.55, 0.45]	0	1.0	False	none
	2	[0.43, 0.57]	1	0.0	False	none
ˈfar.ʃe	1	[0.88, 0.12]	0	1.0	False	none
	2	[0.85, 0.15]	0	0.0	True	none
ˈfɑsˤ.sˤɑsˤ	1	[0.0, 1.0]	1	1.0	True	none
	2	[0.98, 0.02]	0	0.0	True	none
ˈʔæː.dɪr	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈʔɑ.rˤɑsˤ	1	[0.0, 1.0]	1	1.0	True	none
	2	[0.97, 0.03]	0	0.0	True	none
ˈqɑr.je	1	[0.02, 0.98]	1	1.0	True	none
	2	[0.59, 0.41]	0	0.0	True	none
ˈʔal.lad	1	[0.02, 0.98]	1	1.0	True	none
	2	[0.95, 0.05]	0	0.0	True	none
ˈka.tab	1	[0.2, 0.8]	1	1.0	True	none
	2	[0.09, 0.91]	1	0.0	False	none
ˈkar.ram	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈki.rɪh	1	[0.08, 0.92]	1	1.0	True	none
	2	[0.95, 0.05]	0	0.0	True	none
ˈkaf.kaf	1	[0.03, 0.97]	1	1.0	True	none
	2	[0.99, 0.01]	0	0.0	True	none
ˈkal.lam	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈkɪl.me	1	[0.0, 1.0]	1	1.0	True	none
	2	[0.94, 0.06]	0	0.0	True	none
ˈkoːr.ba	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈkaw.waʕ	1	[0.01, 0.99]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈla.bas	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈla.ʔa	1	[0.04, 0.96]	1	1.0	True	none
	2	[0.29, 0.71]	1	0.0	False	none
ˈloː.la	1	[0.18, 0.82]	1	1.0	True	none
	2	[0.98, 0.02]	0	0.0	True	none
ˈleː.rˤɑ	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈmæː.lɪħ	1	[0.02, 0.98]	1	1.0	True	none
	2	[0.98, 0.02]	0	0.0	True	none
ˈmɪxt.lɪf	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈmrat.tab	1	[0.03, 0.97]	1	1.0	True	none
	2	[0.94, 0.06]	0	0.0	True	none
ˈma.sa	1	[0.73, 0.27]	0	1.0	False	none
	2	[0.92, 0.08]	0	0.0	True	none
ˈmus.lɪm	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈmɑ.sˤ(ɪ)rˤ	1	[0.98, 0.02]	0	1.0	False	none
	2	[0.06, 0.94]	1	0.0	False	none
ˈmʕal.lem	1	[0.0, 1.0]	1	1.0	True	none
	2	[0.94, 0.06]	0	0.0	True	none
ˈmɑf.sˤɑl	1	[0.01, 0.99]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
miː.na	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈnæː.dɪr	1	[0.0, 1.0]	1	1.0	True	none
	2	[0.99, 0.01]	0	0.0	True	none
ˈnɪt.fe	1	[0.02, 0.98]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈna.taʔ	1	[0.02, 0.98]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈni.dɪm	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈna.ʃar	1	[0.31, 0.69]	1	1.0	True	none
	2	[0.5, 0.5]	0	0.0	True	none
ˈnak.ha	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈhej.jɪn	1	[0.88, 0.12]	0	1.0	False	none
	2	[0.89, 0.11]	0	0.0	True	none
ˈwaː.ħad	1	[0.01, 0.99]	1	1.0	True	none
	2	[0.89, 0.11]	0	0.0	True	none
ˈwæː.sɪʕ	1	[0.03, 0.97]	1	1.0	True	none
	2	[0.98, 0.02]	0	0.0	True	none
ˈwɑ.rˤɑʔ	1	[0.01, 0.99]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈwa.ʕad	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈjɑlˤ.lˤɑ	1	[0.97, 0.03]	0	1.0	False	none
	2	[0.01, 0.99]	1	0.0	False	none
ɪl.ʒaˈliːl	1	[0.99, 0.01]	0	0.0	True	none
	2	[0.05, 0.95]	1	0.0	False	none
	3	[1.0, 0.0]	0	1.0	False	none
ˌlħam.dɪlˈlæːh	1	[0.59, 0.41]	0	0.0	True	none
	2	[0.35, 0.65]	1	0.0	False	none
	3	[0.99, 0.01]	0	1.0	False	none
ɪl.xaˈliːl	1	[0.99, 0.01]	0	0.0	True	none
	2	[0.0, 1.0]	1	0.0	False	none
	3	[1.0, 0.0]	0	1.0	False	none
ta.maˈniːn	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.16, 0.84]	1	0.0	False	none
	3	[0.54, 0.46]	0	1.0	False	none
ʔɪnˈɡliː.zi	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.21, 0.79]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
ɪsˈtaʔ.ʒar	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[0.98, 0.02]	0	0.0	True	none
ɪsˈtaɣ.rab	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
ɪʕˈta.ʔad	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
ɪnˈsa.ʒan	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
ɪnˈʕa.da	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
ɪnˈɣa.la	1	[0.9, 0.1]	0	0.0	True	none
	2	[0.14, 0.86]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
bɪlˈʕæː.de	1	[0.96, 0.04]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
barˈnæː.mɪʒ	1	[0.98, 0.02]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
bawˈwæː.be	1	[0.86, 0.14]	0	0.0	True	none
	2	[0.02, 0.98]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
(ɪ)tˈʔæː.mɑrˤ	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
ɪtˈbar.raʕ	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
(ɪ)tˈtæː.wab	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
(ɪ)tˈʒaʕ.lak	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
ɪtˈħam.mam	1	[0.98, 0.02]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
ɪtˈxɑrˤ.rˤɑf	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
ɪdˈdar.rab	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.01, 0.99]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
(ɪ)dˈzak.kar	1	[0.99, 0.01]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
ɪtˈrˤɑː.hɑn	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.08, 0.92]	1	1.0	True	none
	3	[0.92, 0.08]	0	0.0	True	none
idˈzaw.waʒ	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
ɪtˤˈtˤʌw.wʌr	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
(ɪ)tˈʕad.da	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
ɪtˈʕaw.wad	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
ɪtˈʔæː.bal	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[0.98, 0.02]	0	0.0	True	none
(ɪ)tˈkar.rar	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.13, 0.87]	1	1.0	True	none
	3	[0.02, 0.98]	1	0.0	False	none
ɪtˈmad.dad	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
ɪtˈman.na	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.04, 0.96]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
ɪtˈnaf.fas	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
ɪtˈnak.kar	1	[0.97, 0.03]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
xiˈjæː.ne	1	[0.73, 0.27]	0	0.0	True	none
	2	[0.05, 0.95]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
rɑːˈmɑlˤ.lˤɑh	1	[0.12, 0.88]	1	0.0	False	none
	2	[0.66, 0.34]	0	1.0	False	none
	3	[1.0, 0.0]	0	0.0	True	none
ʃaħˈħɑː.tˤɑ	1	[0.99, 0.01]	0	0.0	True	none
	2	[0.1, 0.9]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
ʕalˈʔæː.kɪr	1	[0.28, 0.72]	1	0.0	False	none
	2	[0.0, 1.0]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
ʕalˈxɑː.lɪsˤ	1	[0.99, 0.01]	0	0.0	True	none
	2	[0.33, 0.67]	1	1.0	True	none
	3	[0.42, 0.58]	1	0.0	False	none
ʕɑsˤˈsˤɑː.rˤɑ	1	[0.96, 0.04]	0	0.0	True	none
	2	[0.53, 0.47]	0	1.0	False	none
	3	[0.99, 0.01]	0	0.0	True	none
kamˈmæː.me	1	[0.99, 0.01]	0	0.0	True	none
	2	[0.01, 0.99]	1	1.0	True	none
	3	[0.99, 0.01]	0	0.0	True	none
maˈsˤuː.rˤɑ	1	[0.95, 0.05]	0	0.0	True	none
	2	[1.0, 0.0]	0	1.0	False	none
	3	[0.75, 0.25]	0	0.0	True	none
mɑˈħɑtˤ.tˤɑ	1	[0.8, 0.2]	0	0.0	True	none
	2	[0.19, 0.81]	1	1.0	True	none
	3	[1.0, 0.0]	0	0.0	True	none
muˈħam.mad	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.27, 0.73]	1	1.0	True	none
	3	[0.82, 0.18]	0	0.0	True	none
musˈtaʔ.bal	1	[0.52, 0.48]	0	0.0	True	none
	2	[0.93, 0.07]	0	1.0	False	none
	3	[0.55, 0.45]	0	0.0	True	none
mʊsˈtan.qaʕ	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.17, 0.83]	1	1.0	True	none
	3	[0.1, 0.9]	1	0.0	False	none
ɪʃ.ˈta.rak	1	[0.61, 0.39]	0	1.0	False	none
	2	[0.04, 0.96]	1	0.0	False	none
	3	[1.0, 0.0]	0	0.0	True	none
ˈħa.ʃɑ.rˤɑ	1	[0.84, 0.16]	0	1.0	False	none
	2	[0.62, 0.38]	0	0.0	True	none
	3	[0.49, 0.51]	1	0.0	False	none
ˈʕʊn.sˤʊ.ri	1	[0.85, 0.15]	0	1.0	False	none
	2	[0.34, 0.66]	1	0.0	False	none
	3	[1.0, 0.0]	0	0.0	True	none
ˈmar.wa.ħa	1	[0.56, 0.44]	0	1.0	False	none
	2	[0.52, 0.48]	0	0.0	True	none
	3	[0.98, 0.02]	0	0.0	True	none
ilˈʕɑ.qɑ.be	1	[0.06, 0.94]	1	0.0	False	none
	2	[1.0, 0.0]	0	1.0	False	none
	3	[0.47, 0.53]	1	0.0	False	none
	4	[1.0, 0.0]	0	0.0	True	none
ˈba.ʕɪdˈbʊk.rˤɑ	1	[0.04, 0.96]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
	3	[0.0, 1.0]	1	0.0	False	none
	4	[1.0, 0.0]	0	0.0	True	none
mar.waˈħij.je	1	[0.01, 0.99]	1	0.0	False	none
	2	[1.0, 0.0]	0	0.0	True	none
	3	[0.84, 0.16]	0	1.0	False	none
	4	[1.0, 0.0]	0	0.0	True	none
mas.ʔuːˈlij.je	1	[0.0, 1.0]	1	0.0	False	none
	2	[1.0, 0.0]	0	0.0	True	none
	3	[0.16, 0.84]	1	1.0	True	none
	4	[1.0, 0.0]	0	0.0	True	none
maʕ.kaˈroː.na	1	[0.8, 0.2]	0	0.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
	3	[0.38, 0.62]	1	1.0	True	none
	4	[1.0, 0.0]	0	0.0	True	none
ˈwaʔ.ʔaf‿ɪbˈwij.ho	1	[0.99, 0.01]	0	1.0	False	none
	2	[1.0, 0.0]	0	0.0	True	none
	3	[0.0, 1.0]	1	0.0	False	none
	4	[1.0, 0.0]	0	0.0	True	none
